date,datasetid,alternate_download_available,year,week,event,subject,downloads,url
2019-06-03,2019w23,N,2019,23,,Sleepless in America?,254,https://data.world/makeovermonday/2019w23
2019-06-10,2019w24,N,2019,24,,Is it wrong for same-sex couples to have sexual relations?,34,https://data.world/makeovermonday/2019w24
2019-06-17,2019w25,Y,2019,25,TC Europe 2019,Berlin Airbnb Ratings,156,https://data.world/makeovermonday/2019w25
2019-06-24,2019w26,N,2019,26,,Alcohol Consumption By Country,229,https://data.world/makeovermonday/2019w26
2019-07-01,2019w27,N,2019,27,,Game of Thrones Deaths,169,https://data.world/makeovermonday/2019w27
2019-07-08,2019w28,N,2019,28,,International protection in the EU+: 2018 overview,31,https://data.world/makeovermonday/2019w28
2019-07-15,2019w29,N,2019,29,,The share of Americans not having sex has reached a record high,59,https://data.world/makeovermonday/2019w29
2019-07-22,2019w30,N,2019,30,,Arsenal FC's 2018/19 season,104,https://data.world/makeovermonday/2019w30
2019-07-29,2019w31,N,2019,31,,STD Infections Rates in America,213,https://data.world/makeovermonday/2019w31
2019-08-05,2019w32,N,2019,32,,The power switch: tracking Britain's record coal-free run,54,https://data.world/makeovermonday/2019w32
2019-08-12,2019w33,N,2019,33,,A birdÕs-eye view of clinical trials,109,https://data.world/makeovermonday/2019w33
2019-08-19,2019w34,N,2019,34,,"Americans touch their smartphones 2,617 times a day",173,https://data.world/makeovermonday/2019w34
2019-08-26,2019w35,N,2019,35,,PCs to Become the Smallest Gaming Platform in 2018,114,https://data.world/makeovermonday/2019w35
2019-09-02,2019w36,N,2019,36,,Fall is favorite season for most Americans,247,https://data.world/makeovermonday/2019w36
2019-09-09,2019w37,N,2019,37,,James Patterson Book Checkouts at Seattle Libraries,113,https://data.world/makeovermonday/2019w37
2019-09-16,2019w38,N,2019,38,,Positive Impact Events - Committments from the Event Industry for the Sustainable Development Goals,242,https://data.world/makeovermonday/2019w38
2019-09-23,2019w39,N,2019,39,,Evictions in San Francisco,779,https://data.world/makeovermonday/2019w39
2019-09-30,2019w40,N,2019,40,,London Population Predictions,746,https://data.world/makeovermonday/2019w40
2019-10-07,2019w41,N,2019,41,,Donations accepted by political parties,644,https://data.world/makeovermonday/2019w41
2019-10-14,2019w42,N,2019,42,,Ironman World Championship Medalists,703,https://data.world/makeovermonday/2019w42
2019-10-21,2019w43,N,2019,43,,The age at which most people are dying by suicide,852,https://data.world/makeovermonday/2019w43
2019-10-28,2019w44,N,2019,44,,World Cities Ranked by Average Annual Sunshine Hours,861,https://data.world/makeovermonday/2019w44
2019-11-04,2019w45,N,2019,45,,Las Vegas Convention Attendance & Visitor Traffic,739,https://data.world/makeovermonday/2019w45
2019-11-11,2019w46,Y,2019,46,TC19,Youth and Adult Literacy Rates,623,https://data.world/makeovermonday/2019w46
2019-11-18,2019w47,N,2019,47,,Smartphone Ownership Among Youth Is on the Rise,952,https://data.world/makeovermonday/2019w47
2019-11-25,2019w48,N,2019,48,,2018 Central Park Squirrel Census Fur Map,648,https://data.world/makeovermonday/2019w48
2019-12-02,2019w49,N,2019,49,,How much does union membership benefit America's workers?,630,https://data.world/makeovermonday/2019w49
2019-12-09,2019w50,N,2019,50,,Ranked: Biggest Fast Food Chains in America,678,https://data.world/makeovermonday/2019w50
2019-12-16,2019w51,N,2019,51,,The Spurs Have Never Been This Bad At Defense,420,https://data.world/makeovermonday/2019w51
2019-12-23,2019w52,N,2019,52,,Estimated Christmas spending by concept,348,https://data.world/makeovermonday/2019w52
